,Feature name,Decision Tree,XGBoost
4,power,0.4491969665091639,0.4531183667541501
3,year,0.22092630651528272,0.2573080924825145
1,mileage,0.12057328709044303,0.09453595972182169
2,engine_size,0.024680949876560547,0.04674851254899988
1243,x12_Tak,0.017144838552528907,0.01680287690890577
897,x4_SF90 Stradale,0.0144334903753056,0.003839490350532415
273,x4_Aventador,0.012455066904779941,0.0034902169388966106
1248,x17_Tak,0.01113423163051695,0.00795871532282781
210,x4_911,0.010344114112213365,0.007749175874434584
651,x4_Klasa G,0.007062718888867011,0.005371155370705023
31,x3_Ferrari,0.0067214320582416704,0.014814596272474112
0,x0_Manualna,0.0050711366813094684,0.0165736060573496
46,x3_Lamborghini,0.004897506931300116,0.010517307012908404
60,x3_Mercedes-Benz,0.004689364405338243,0.0028775516543731935
16,x3_Bentley,0.004513799303568733,0.002654209583548966
1177,x6_Na przednie koła,0.004388037901148836,0.01940092652058573
1181,x7_Kabriolet,0.0041217859677365664,0.0003288813316444743
71,x3_Porsche,0.003415343574788446,0.0053683989219832145
653,x4_Klasa S,0.003111898239350343,0.0011657871220148719
1068,x4_Vanquish,0.002461486163215911,0.004529090785625255
1171,x5_Diesel,0.0022142818330841973,0.0031321393090763825
361,x4_California,0.0021631991492695813,0.0014080175642285902
1185,x7_SUV,0.0020758863746609393,0.0016851828424158993
1228,x10_Polska,0.001719953194273578,0.0043579559509188725
195,x4_720S Coupe,0.00167620855060713,0.0
5,x0_Osoby prywatnej,0.0016092785310549984,2.6201143747615563e-06
1244,x13_Tak,0.0016050166753709425,0.0026482119931460586
1184,x7_Minivan,0.0014316379737920816,0.0
1176,x6_4x4 (stały),0.0013501123005307707,0.0004829604610515909
1186,x7_Sedan,0.0011348386843383217,0.0
1180,x7_Coupe,0.001119686722480828,0.0
19,x3_Cadillac,0.0011046877271251236,0.0
377,x4_Cayenne,0.0010968995085808258,0.0
33,x3_Ford,0.001074761153872486,0.0
1191,x8_Czarny,0.0010636821899191596,3.257803943768472e-06
1112,x4_XB7,0.001056528247171669,0.00061027293273771
14,x3_BMW,0.0009904974285922694,9.461156676841736e-05
548,x4_GLE,0.0009591555785067194,0.00018327796871580007
1251,x20_Tak,0.0009401504927285206,0.00046773863200964426
456,x4_Diablo,0.0009098336299630632,0.0
901,x4_SLS,0.0009069191693039662,0.0007255782320675902
860,x4_Range Rover,0.0008607952163200154,6.375282313909104e-05
12,x3_Audi,0.0008126737861636285,0.00013816231491346664
1178,x6_Na tylne koła,0.0008119324897617429,7.918963039712658e-05
1196,x8_Niebieski,0.0008095286249664293,1.8763073536979074e-05
6,x2_Tak,0.000765621493226501,9.168972725103703e-06
655,x4_Klasa V,0.0007484843125638228,0.000882055906223711
1107,x4_X5,0.0007465277722543629,9.198796157000392e-05
617,x4_Inny,0.0007340823723264047,0.0
1173,x5_Hybryda,0.0007247084427727013,0.0004291544812357982
1203,x9_Metalik,0.0006828973913382287,0.0
1199,x8_Szary,0.0006587153527549981,0.00011611612073938183
1246,x15_Tak,0.0006390389549673578,1.5350739459556857e-05
230,x4_AMG GT,0.0005591507005449328,0.0007354774297170445
1247,x16_Tak,0.000535269179616034,0.0
1187,x8_Biały,0.0005232527736968027,4.623347001622589e-05
1193,x8_Fioletowy,0.0004974863919038205,7.514495871865237e-06
48,x3_Land Rover,0.0004822783116683632,0.00042868918567166007
746,x4_Multivan,0.00047163989535847686,0.00042591652484726497
1242,x11_Używane,0.00046138123229731064,6.052227629300612e-05
11,x3_Aston Martin,0.00045887463159679663,0.0007521074861348297
224,x4_A6,0.00045714854421277635,0.0
673,x4_Land Cruiser,0.00045099081698519035,0.0
1231,x10_Stany Zjednoczone,0.00041462786597771796,0.0002884998615538254
472,x4_EQS,0.0004095466544839785,0.00027998513150174364
1182,x7_Kombi,0.00040275746854033924,0.0
1116,x4_XC 90,0.0004004565006224934,0.0
1220,x10_Japonia,0.00040018763514205536,0.0
668,x4_LX,0.0003903696732321763,0.0
1110,x4_X6 M,0.00038668824793635737,0.0
87,x3_Tesla,0.00038377642880552007,0.0
1200,x8_Zielony,0.000374280534486142,0.0
1204,x9_Perłowy,0.0003733136300919389,0.0
940,x4_Seria 5,0.0003724712956749081,0.0
1163,x4_iX,0.00036572837289165566,4.794220662133283e-05
650,x4_Klasa E,0.00036063567143238375,0.0
1179,x7_Auta miejskie,0.0003589419737734823,0.0
49,x3_Lexus,0.0003541666838723485,0.0
293,x4_Bentayga,0.0003503451025512461,3.276800498652699e-05
1123,x4_XK,0.00034653936855176347,0.0
451,x4_Defender,0.0003461689289547735,4.5704019732899025e-05
828,x4_Q8,0.00034035072843175416,0.00026559515756303183
412,x4_Corvette,0.0003381338026322989,0.0
863,x4_Range Rover Velar,0.00033152829367299384,0.0
44,x3_Kia,0.0003180502475145235,0.0
1226,x10_Niemcy,0.00031607623235078395,0.0
547,x4_GLC,0.00031576532123304117,0.0
898,x4_SL,0.00031443889923793173,0.0
943,x4_Seria 7,0.00030241433222181666,0.0
1183,x7_Kompakt,0.00029722960140651344,0.0
9,x3_Alfa Romeo,0.00028646452185139456,0.0
1195,x8_Inny kolor,0.0002844592550048699,0.0
1245,x14_Tak,0.0002836555587129481,0.0
1192,x8_Czerwony,0.00028302618810985855,0.0
937,x4_Seria 3,0.0002802651097849596,0.0
93,x3_Volkswagen,0.00027881073574721337,0.0
56,x3_Maserati,0.00026659438880551463,0.0001555107758448089
226,x4_A7,0.0002588617454441333,0.0
1175,x6_4x4 (dołączany ręcznie),0.000253042115888236,0.0
30,x3_Dodge,0.00024671265708983914,0.0002016034462614526
218,x4_A110,0.00024285588123559222,0.0
1160,x4_i8,0.00024265154672153662,2.4237322123184275e-05
1189,x8_Brązowy,0.00023051867860734052,0.0
1198,x8_Srebrny,0.0002242788332119241,0.0
1172,x5_Elektryczny,0.00021051401791494982,8.227272410910115e-05
430,x4_DB11,0.00019503932998347903,0.0
1111,x4_X7,0.0001873663149543516,6.552017489296714e-05
42,x3_Jaguar,0.00018422157314526235,0.0
1240,x10_Włochy,0.00018215454452636464,0.0
591,x4_H1,0.00017912923156880193,3.441679384489077e-05
88,x3_Toyota,0.00017887847186522158,0.0
74,x3_Rolls-Royce,0.0001764218296559667,0.0
94,x3_Volvo,0.00017457165794858423,0.0
851,x4_RS Q8,0.0001738787957595582,0.0
600,x4_Huracan,0.00016676552904981124,0.0
466,x4_E-Type,0.00016274551976906354,0.0
903,x4_SQ7,0.00015784678917398019,0.0
819,x4_Q3,0.00015676638671352285,0.0
945,x4_Seria 8,0.00015415152646374678,6.848154332359003e-05
702,x4_M5,0.00015385203266526852,0.0
1201,x8_Złoty,0.00015098263564988844,0.0
471,x4_EQE,0.0001482823226621806,0.0
79,x3_Skoda,0.00014572063642730336,0.0
229,x4_A8,0.00014524758822700908,0.0
550,x4_GLS,0.00014237866564091866,0.00018836563465384672
1158,x4_i4,0.00013195679683297807,0.0
386,x4_Cherokee,0.00012740472545561075,0.0
1079,x4_Viper,0.0001260496614239812,0.0
1109,x4_X6,0.00012576579650882026,0.0
1094,x4_Wrangler,0.00012446895491026358,0.0
43,x3_Jeep,0.00012193125875467775,0.0
383,x4_Challenger,0.00012162870020151414,8.38763447907417e-05
823,x4_Q5,0.00011978961019098119,0.0
1114,x4_XC 60,0.00011780177565731353,0.0
700,x4_M3,0.00011604589399193243,0.0
826,x4_Q7,0.00011152006964028136,0.0
344,x4_CLS,0.00010593484904663686,0.0
282,x4_B7,0.00010090672656192643,0.0
58,x3_Mazda,9.404620781931177e-05,0.0
59,x3_McLaren,9.367309552134192e-05,0.0010499545279184985
447,x4_Daily,9.277260947068978e-05,0.0
578,x4_Grand Cherokee,9.267288588491939e-05,0.0
841,x4_R8,8.74450746400802e-05,0.0
1202,x8_Żółty,8.57042260263213e-05,6.166344059761393e-05
1103,x4_X3,8.565385800759178e-05,0.0
68,x3_Peugeot,8.316166546731653e-05,0.0
788,x4_Patrol,8.26435155691298e-05,0.0
619,x4_Insignia,8.187453180562555e-05,0.0
257,x4_Arteon,8.18369743079781e-05,0.0
416,x4_Crafter,8.098648560928297e-05,0.0
39,x3_Infiniti,8.032307066766856e-05,0.0
984,x4_Superb,8.025991437265004e-05,0.0
67,x3_Opel,7.764731607342498e-05,0.0
1105,x4_X4,7.764395127691721e-05,0.0
38,x3_Hyundai,7.721718277721065e-05,0.0
862,x4_Range Rover Sport,7.37091389927656e-05,0.0
844,x4_RAV4,7.220983344359279e-05,0.0
369,x4_Caravelle,7.219903396530768e-05,0.0
649,x4_Klasa C,7.176946961871524e-05,0.0
1081,x4_Vito,6.896600573347354e-05,0.0
972,x4_Sprinter,6.865139388967453e-05,0.0
1065,x4_V90,6.765701218989378e-05,0.0
1108,x4_X5 M,6.599322069865342e-05,0.0
717,x4_Macan,6.544389354843082e-05,0.0
1119,x4_XF,6.533648274138677e-05,0.0
116,x4_1500,6.529045019583907e-05,0.0
597,x4_Highlander,6.497352318566015e-05,0.0
780,x4_Panamera,6.458541045425895e-05,0.0
24,x3_Cupra,6.310432029981464e-05,0.0
1042,x4_Transporter,6.298243603197053e-05,0.0
647,x4_Klasa A,5.970379494532874e-05,0.0
221,x4_A4,5.947212282201715e-05,0.0
404,x4_Continental GT,5.882576918157805e-05,0.0
853,x4_RS4,5.7703025744294764e-05,0.0
1050,x4_Tucson,5.570194707236348e-05,0.0
942,x4_Seria 6,5.505113401342677e-05,0.0
842,x4_RAM,5.50171491993992e-05,2.0464814521243102e-05
544,x4_GL,5.481466318266997e-05,0.0
464,x4_Duster,5.462099466504783e-05,0.0
354,x4_CX-60,5.153359275299581e-05,0.0
400,x4_Compass,5.0798567648502534e-05,0.0
835,x4_Qashqai,5.068469640300041e-05,0.0
857,x4_RX,5.017088699656242e-05,0.0
1194,x8_Granatowy,5.0065468319368145e-05,0.0
784,x4_Passat,5.0049515598009594e-05,0.0
1188,x8_Bordowy,4.7548034937836166e-05,0.0
223,x4_A5,4.739206607484782e-05,0.0
1027,x4_Touareg,4.6522807806153715e-05,0.0
457,x4_Discovery,4.646229071992188e-05,0.0
753,x4_NX,4.5956957415912994e-05,0.0
32,x3_Fiat,4.53913319294077e-05,0.0
938,x4_Seria 4,4.53335384427472e-05,0.0
1221,x10_Kanada,4.409449943058251e-05,0.0
1018,x4_Tiguan,4.405869397101658e-05,0.0
47,x3_Lancia,4.374106136213004e-05,0.0
63,x3_Mitsubishi,4.3520959227892426e-05,0.0
